filename,category,resolution,x_Subjects,MOSFull,MOSChunk00,MOSChunk05,MOSChunk10,stdFull,stdChunk00,stdChunk05,stdChunk10,,,,,,,,
Gaming_360P-0b98,Gaming,360,134,3.14,2.812,2.583,3.415,0.728,0.7,0.934,0.616,,,,,,,,
Gaming_360P-187a,Gaming,360,126,3.133,3.001,3.198,3.062,0.667,0.656,0.589,0.654,,,,,,,,
Gaming_360P-215f,Gaming,360,120,2.869,2.775,2.748,2.745,0.677,0.659,0.721,0.573,,,,,,,,
Gaming_360P-2164,Gaming,360,111,3.245,3.034,2.954,3.004,0.697,0.629,0.671,0.641,,,,,,,,
Gaming_360P-21d2,Gaming,360,127,2.372,2.498,2.45,2.566,0.671,0.865,0.844,0.848,,,,,,,,
Gaming_360P-2330,Gaming,360,120,2.607,2.284,2.458,2.475,0.739,0.57,0.756,0.536,,,,,,,,
Gaming_360P-279f,Gaming,360,127,2.841,2.895,2.983,2.942,0.59,0.853,0.731,0.699,,,,,,,,
Gaming_360P-2f99,Gaming,360,129,3.281,3.413,3.43,3.145,0.709,0.481,0.524,0.647,,,,,,,,
Gaming_360P-3794,Gaming,360,113,1.475,1.543,1.621,1.559,0.547,0.622,0.71,0.656,,,,,,,,
Gaming_360P-3eb6,Gaming,360,145,3.184,3.276,3.103,3.108,0.658,0.658,0.67,0.689,,,,,,,,
Gaming_360P-48b0,Gaming,360,110,3.427,3.434,3.287,3.245,0.5,0.521,0.567,0.569,,,,,,,,
Gaming_360P-4f09,Gaming,360,124,3.506,3.417,3.511,3.316,0.634,0.604,0.611,0.619,,,,,,,,
Gaming_360P-56fe,Gaming,360,127,2.439,2.293,2.041,2.305,0.767,0.705,0.665,0.571,,,,,,,,
Gaming_360P-586d,Gaming,360,109,3.026,2.813,2.827,2.911,0.743,0.648,0.67,0.647,,,,,,,,
Gaming_360P-5e0f,Gaming,360,123,3.012,2.956,3.049,3.186,0.695,0.66,0.65,0.71,,,,,,,,
Gaming_360P-6207,Gaming,360,113,3.349,3.368,3.252,3.31,0.613,0.527,0.681,0.613,,,,,,,,
Gaming_360P-63e6,Gaming,360,117,2.636,2.543,2.362,2.397,0.726,0.722,0.595,0.624,,,,,,,,
Gaming_360P-73c7,Gaming,360,124,3.247,3.244,3.235,3.323,0.67,0.557,0.588,0.571,,,,,,,,
Gaming_360P-7975,Gaming,360,127,2.761,2.765,2.746,2.417,0.665,0.679,0.581,0.573,,,,,,,,
Gaming_360P-7acb,Gaming,360,106,3.059,3.08,2.862,2.927,0.6,0.627,0.605,0.664,,,,,,,,
Gaming_480P-0109,Gaming,480,118,2.436,2.406,2.536,2.468,0.585,0.51,0.518,0.55,,,,,,,,
Gaming_480P-062e,Gaming,480,116,3.435,3.243,3.196,3.083,0.531,0.585,0.617,0.654,,,,,,,,
Gaming_480P-09ab,Gaming,480,128,3.795,3.747,3.829,3.78,0.567,0.571,0.552,0.511,,,,,,,,
Gaming_480P-0a03,Gaming,480,124,2.676,2.581,2.484,2.559,0.749,0.725,0.735,0.742,,,,,,,,
Gaming_480P-0d23,Gaming,480,113,3.466,3.378,3.331,3.358,0.583,0.546,0.68,0.658,,,,,,,,
Gaming_480P-0dbc,Gaming,480,114,2.973,2.851,2.968,2.938,0.611,0.57,0.616,0.61,,,,,,,,
Gaming_480P-14fc,Gaming,480,124,3.822,3.732,3.813,3.84,0.503,0.574,0.453,0.487,,,,,,,,
Gaming_480P-1542,Gaming,480,104,2.776,2.545,2.706,2.636,0.657,0.622,0.645,0.633,,,,,,,,
Gaming_480P-20ca,Gaming,480,117,2.891,2.95,2.861,2.693,0.731,0.72,0.72,0.67,,,,,,,,
Gaming_480P-3a44,Gaming,480,112,3.043,2.919,2.957,3.062,0.607,0.672,0.655,0.648,,,,,,,,
Gaming_480P-445b,Gaming,480,106,3.714,3.825,3.829,3.648,0.523,0.468,0.512,0.482,,,,,,,,
Gaming_480P-4560,Gaming,480,114,3.904,3.814,3.942,3.91,0.527,0.466,0.52,0.474,,,,,,,,
Gaming_480P-5a5a,Gaming,480,130,3.478,3.216,3.373,3.522,0.583,0.714,0.676,0.562,,,,,,,,
Gaming_480P-61ee,Gaming,480,115,3.631,3.435,3.46,3.24,0.503,0.491,0.502,0.667,,,,,,,,
Gaming_480P-626a,Gaming,480,122,3.786,3.701,3.498,3.632,0.498,0.48,0.52,0.505,,,,,,,,
Gaming_480P-6491,Gaming,480,122,3.013,2.875,3.009,3.115,0.695,0.666,0.676,0.625,,,,,,,,
Gaming_480P-6548,Gaming,480,126,2.871,2.61,2.528,3.077,0.727,0.791,0.764,0.697,,,,,,,,
Gaming_480P-6a5a,Gaming,480,124,3.468,3.312,3.42,3.483,0.512,0.574,0.564,0.532,,,,,,,,
Gaming_480P-6c92,Gaming,480,140,2.348,2.21,2.281,2.4,0.899,0.69,0.889,0.619,,,,,,,,
Gaming_480P-6cdc,Gaming,480,127,2.425,2.23,2.162,2.463,0.527,0.484,0.493,0.504,,,,,,,,
Gaming_480P-6d1e,Gaming,480,117,2.674,2.569,2.631,2.678,0.632,0.66,0.737,0.672,,,,,,,,
Gaming_480P-6f4b,Gaming,480,120,3.67,3.588,3.509,3.603,0.494,0.537,0.53,0.493,,,,,,,,
Gaming_480P-75f7,Gaming,480,127,2.798,2.788,3.006,2.993,0.728,0.811,0.674,0.65,,,,,,,,
Gaming_480P-7893,Gaming,480,105,2.761,2.775,2.89,2.743,0.551,0.749,0.589,0.66,,,,,,,,
Gaming_480P-7a08,Gaming,480,128,3.792,3.744,3.538,3.698,0.567,0.587,0.709,0.542,,,,,,,,
Gaming_480P-7ccb,Gaming,480,118,3.581,3.453,3.609,3.607,0.506,0.512,0.517,0.517,,,,,,,,
Gaming_480P-7e76,Gaming,480,117,2.397,2.146,2.336,2.306,0.695,0.888,0.652,0.616,,,,,,,,
Gaming_720P-0fba,Gaming,720,120,4.089,3.77,3.763,3.785,0.61,0.521,0.52,0.565,,,,,,,,
Gaming_720P-0fdb,Gaming,720,115,3.263,2.91,3.071,3.26,0.689,0.766,0.728,0.681,,,,,,,,
Gaming_720P-1035,Gaming,720,137,3.683,3.74,3.665,3.624,0.499,0.558,0.495,0.589,,,,,,,,
Gaming_720P-103a,Gaming,720,127,4.056,3.932,4.001,4.006,0.61,0.495,0.405,0.503,,,,,,,,
Gaming_720P-1cbb,Gaming,720,124,4.01,3.892,4.051,3.937,0.533,0.535,0.419,0.491,,,,,,,,
Gaming_720P-221d,Gaming,720,135,3.252,3.206,3.211,3.242,0.66,0.628,0.667,0.637,,,,,,,,
Gaming_720P-25aa,Gaming,720,127,2.952,2.924,2.9,2.855,0.886,0.773,0.757,0.827,,,,,,,,
Gaming_720P-2dbe,Gaming,720,138,4.327,4.229,4.217,4.134,0.489,0.584,0.549,0.596,,,,,,,,
Gaming_720P-312f,Gaming,720,125,3.826,3.791,3.761,3.709,0.5,0.545,0.541,0.512,,,,,,,,
Gaming_720P-324d,Gaming,720,113,3.145,2.755,3.076,3.043,0.843,0.891,0.819,0.864,,,,,,,,
Gaming_720P-3524,Gaming,720,114,3.11,2.94,2.501,2.225,0.728,0.788,0.674,0.785,,,,,,,,
Gaming_720P-40b2,Gaming,720,124,3.855,3.943,3.861,3.791,0.435,0.508,0.518,0.491,,,,,,,,
Gaming_720P-469a,Gaming,720,143,4.124,4.201,3.977,3.917,0.575,0.52,0.553,0.475,,,,,,,,
Gaming_720P-4813,Gaming,720,109,4.29,4.144,4.089,3.908,0.433,0.526,0.434,0.569,,,,,,,,
Gaming_720P-493e,Gaming,720,113,3.567,3.688,3.694,3.24,0.565,0.64,0.672,0.725,,,,,,,,
Gaming_720P-4cda,Gaming,720,122,3.62,3.446,3.593,3.445,0.512,0.574,0.505,0.465,,,,,,,,
Gaming_720P-5973,Gaming,720,123,4.067,4.122,4.161,4.082,0.474,0.612,0.603,0.588,,,,,,,,
Gaming_720P-5ba2,Gaming,720,107,4.281,4.247,4.35,4.246,0.564,0.481,0.48,0.503,,,,,,,,
Gaming_720P-6403,Gaming,720,121,4.023,4.014,4.221,3.964,0.445,0.516,0.402,0.531,,,,,,,,
Gaming_720P-64b0,Gaming,720,108,4.396,4.285,4.384,4.44,0.48,0.511,0.483,0.48,,,,,,,,
Gaming_720P-6625,Gaming,720,120,3.813,3.566,3.879,3.738,0.476,0.722,0.57,0.583,,,,,,,,
Gaming_720P-6658,Gaming,720,123,3.715,3.723,3.522,3.442,0.498,0.502,0.449,0.444,,,,,,,,
Gaming_720P-6a45,Gaming,720,120,3.967,4.116,4.188,4.109,0.532,0.627,0.609,0.56,,,,,,,,
Gaming_720P-7afd,Gaming,720,125,2.486,2.283,2.722,2.602,0.755,0.637,0.588,0.541,,,,,,,,
HDR_1080P-0d31,HDR,1080,139,4.373,4.06,4.102,3.777,0.507,0.483,0.569,0.504,,,,,,,,
HDR_1080P-13eb,HDR,1080,125,3.761,3.647,3.799,3.667,0.484,0.59,0.74,0.529,,,,,,,,
HDR_1080P-1be2,HDR,1080,122,3.756,3.906,3.738,3.735,0.495,0.533,0.547,0.485,,,,,,,,
HDR_1080P-1e5b,HDR,1080,128,1.242,1.323,1.387,1.387,0.431,0.513,0.658,0.651,,,,,,,,
HDR_1080P-206d,HDR,1080,109,3.791,3.692,3.971,3.881,0.576,0.66,0.686,0.569,,,,,,,,
HDR_1080P-282a,HDR,1080,117,4.038,3.592,3.951,4.293,0.512,0.623,0.542,0.509,,,,,,,,
HDR_1080P-2d32,HDR,1080,141,4.503,4.467,4.303,4.553,0.488,0.44,0.605,0.483,,,,,,,,
HDR_1080P-3181,HDR,1080,114,3.777,3.718,3.412,3.444,0.594,0.543,0.681,0.711,,,,,,,,
HDR_1080P-33e3,HDR,1080,141,4.45,4.436,4.227,4.156,0.467,0.449,0.55,0.567,,,,,,,,
HDR_1080P-3521,HDR,1080,132,3.895,4.013,4.191,4.123,0.495,0.53,0.533,0.597,,,,,,,,
HDR_1080P-35f4,HDR,1080,125,4.16,4.051,3.954,3.96,0.6,0.618,0.558,0.529,,,,,,,,
HDR_1080P-3749,HDR,1080,131,4.08,3.949,4.015,3.89,0.587,0.47,0.55,0.523,,,,,,,,
HDR_1080P-3a4a,HDR,1080,127,3.824,3.979,3.711,3.972,0.438,0.411,0.543,0.515,,,,,,,,
HDR_1080P-46a4,HDR,1080,122,3.582,3.667,3.376,3.432,0.728,0.755,0.76,0.8,,,,,,,,
HDR_1080P-49d6,HDR,1080,148,4.589,4.637,4.531,4.6,0.395,0.401,0.471,0.425,,,,,,,,
HDR_1080P-4f4a,HDR,1080,125,3.51,3.363,3.366,3.546,0.838,0.728,0.79,0.743,,,,,,,,
HDR_1080P-548b,HDR,1080,130,4.626,4.757,4.655,4.672,0.412,0.35,0.392,0.372,,,,,,,,
HDR_1080P-549e,HDR,1080,127,4.064,3.934,3.928,3.977,0.633,0.571,0.579,0.488,,,,,,,,
HDR_1080P-55c4,HDR,1080,124,4.106,3.264,4.35,4.405,0.584,0.898,0.581,0.48,,,,,,,,
HDR_1080P-601b,HDR,1080,129,4.318,4.362,4.277,4.427,0.578,0.452,0.611,0.529,,,,,,,,
HDR_1080P-687e,HDR,1080,134,2.629,3.895,2.452,1.523,1.093,0.498,1.06,0.755,,,,,,,,
HDR_1080P-68c8,HDR,1080,124,3.804,3.683,3.744,3.774,0.648,0.605,0.622,0.591,,,,,,,,
HDR_1080P-69de,HDR,1080,124,4.181,4.005,4.005,4.087,0.488,0.404,0.41,0.385,,,,,,,,
HDR_1080P-6eb7,HDR,1080,134,4.046,3.847,3.89,3.828,0.63,0.465,0.465,0.461,,,,,,,,
HDR_1080P-7825,HDR,1080,118,4.514,4.498,4.46,4.455,0.453,0.432,0.413,0.424,,,,,,,,
HDR_2160P-06ae,HDR,2160,130,4.474,4.432,4.382,4.384,0.552,0.604,0.59,0.618,,,,,,,,
HDR_2160P-0e7a,HDR,2160,112,2.322,2.636,2.475,2.163,1.132,1.166,1.147,1.03,,,,,,,,
HDR_2160P-15e2,HDR,2160,104,4.191,4.113,4.144,4.225,0.621,0.621,0.609,0.592,,,,,,,,
HDR_2160P-1743,HDR,2160,142,4.254,3.998,3.85,3.895,0.536,0.55,0.59,0.498,,,,,,,,
HDR_2160P-1e9e,HDR,2160,132,4.356,4.353,4.396,4.435,0.479,0.59,0.498,0.501,,,,,,,,
HDR_2160P-2a72,HDR,2160,138,4.113,4.023,3.846,4.076,0.733,0.757,0.639,0.711,,,,,,,,
HDR_2160P-351f,HDR,2160,106,4.323,4.376,4.285,4.296,0.61,0.621,0.634,0.62,,,,,,,,
HDR_2160P-3663,HDR,2160,110,4.34,4.347,4.263,4.364,0.7,0.569,0.718,0.626,,,,,,,,
HDR_2160P-382f,HDR,2160,136,4.309,4.328,4.327,4.364,0.705,0.59,0.573,0.609,,,,,,,,
HDR_2160P-40ab,HDR,2160,132,4.105,4.113,4.06,4.127,0.611,0.577,0.705,0.695,,,,,,,,
HDR_2160P-4348,HDR,2160,118,4.466,4.304,4.291,4.364,0.475,0.518,0.609,0.588,,,,,,,,
HDR_2160P-4581,HDR,2160,118,3.979,4.132,4.091,3.87,0.515,0.603,0.651,0.608,,,,,,,,
HDR_2160P-4dcd,HDR,2160,124,3.763,3.639,3.623,3.632,0.652,0.728,0.857,0.952,,,,,,,,
HDR_2160P-51ea,HDR,2160,141,4.106,4.009,3.875,3.905,0.59,0.665,0.574,0.513,,,,,,,,
HDR_2160P-5275,HDR,2160,126,4.206,4.248,4.264,4.116,0.628,0.654,0.604,0.642,,,,,,,,
HDR_2160P-5926,HDR,2160,113,4.386,4.607,4.347,4.397,0.622,0.501,0.686,0.625,,,,,,,,
HDR_2160P-5c86,HDR,2160,150,4.388,4.531,4.469,4.593,0.577,0.449,0.562,0.415,,,,,,,,
HDR_2160P-5cdf,HDR,2160,113,4.296,4.313,4.324,4.155,0.601,0.509,0.483,0.64,,,,,,,,
HDR_2160P-5e25,HDR,2160,132,4.209,4.086,4.2,4.213,0.638,0.709,0.548,0.624,,,,,,,,
HDR_2160P-664d,HDR,2160,123,3.753,3.733,3.391,3.017,0.651,0.649,0.713,0.742,,,,,,,,
HDR_2160P-6c6e,HDR,2160,119,4.566,4.689,4.722,4.707,0.457,0.407,0.365,0.401,,,,,,,,
HDR_2160P-6ed1,HDR,2160,109,3.724,3.74,3.907,3.969,0.793,0.767,0.743,0.752,,,,,,,,
HDR_2160P-6eeb,HDR,2160,129,4.402,4.341,4.379,4.429,0.566,0.607,0.625,0.512,,,,,,,,
HDR_2160P-6fa4,HDR,2160,146,4.266,4.35,4.267,4.38,0.621,0.613,0.688,0.54,,,,,,,,
HDR_2160P-6fab,HDR,2160,110,3.443,3.496,3.455,3.371,0.764,0.716,0.776,0.852,,,,,,,,
HDR_2160P-70ca,HDR,2160,122,3.905,4.057,3.95,3.752,0.741,0.643,0.772,0.715,,,,,,,,
HowTo_1080P-0267,HowTo,1080,144,4.234,4.168,4.184,4.231,0.56,0.623,0.599,0.607,,,,,,,,
HowTo_1080P-03fd,HowTo,1080,121,3.517,3.44,3.41,3.441,0.468,0.483,0.478,0.526,,,,,,,,
HowTo_1080P-13aa,HowTo,1080,126,4.336,4.428,4.328,4.001,0.481,0.436,0.422,0.484,,,,,,,,
HowTo_1080P-1f3b,HowTo,1080,152,4.185,4.367,4.346,4.312,0.574,0.474,0.484,0.5,,,,,,,,
HowTo_1080P-36a9,HowTo,1080,116,4.427,4.208,4.16,4.14,0.445,0.626,0.645,0.569,,,,,,,,
HowTo_1080P-4d7b,HowTo,1080,113,4.199,3.897,4.308,4.397,0.407,0.517,0.517,0.483,,,,,,,,
HowTo_1080P-52bb,HowTo,1080,130,4.272,4.492,4.417,4.281,0.55,0.434,0.476,0.547,,,,,,,,
HowTo_1080P-55d1,HowTo,1080,133,4.102,3.988,3.95,3.947,0.593,0.517,0.461,0.526,,,,,,,,
HowTo_1080P-63e4,HowTo,1080,139,3.948,4.198,3.978,3.904,0.477,0.6,0.486,0.543,,,,,,,,
HowTo_1080P-63ec,HowTo,1080,133,4.229,4.167,4.453,4.331,0.558,0.65,0.477,0.491,,,,,,,,
HowTo_1080P-64f7,HowTo,1080,151,4.454,4.157,4.367,4.416,0.468,0.602,0.478,0.522,,,,,,,,
HowTo_1080P-6cbf,HowTo,1080,131,1.915,1.856,1.848,1.649,0.801,0.691,0.667,0.589,,,,,,,,
HowTo_1080P-7399,HowTo,1080,151,4.194,4.146,4.171,4.184,0.608,0.412,0.605,0.659,,,,,,,,
HowTo_1080P-763c,HowTo,1080,126,3.957,3.841,3.976,4.424,0.465,0.499,0.509,0.472,,,,,,,,
HowTo_1080P-7cf2,HowTo,1080,117,3.717,3.716,3.849,3.604,0.493,0.515,0.527,0.565,,,,,,,,
HowTo_1080P-7f18,HowTo,1080,133,3.718,3.789,3.88,3.752,0.499,0.536,0.604,0.646,,,,,,,,
HowTo_1080P-7f4c,HowTo,1080,132,4.092,4.087,4.097,4.121,0.579,0.639,0.635,0.684,,,,,,,,
HowTo_360P-041c,HowTo,360,122,3.214,2.906,2.856,2.969,0.511,0.607,0.555,0.614,,,,,,,,
HowTo_360P-0562,HowTo,360,126,3.261,3.27,3.225,3.168,0.492,0.479,0.495,0.494,,,,,,,,
HowTo_360P-06be,HowTo,360,122,3.601,3.509,3.443,3.466,0.452,0.476,0.499,0.485,,,,,,,,
HowTo_360P-09f8,HowTo,360,110,2.951,2.816,2.839,2.871,0.602,0.645,0.637,0.614,,,,,,,,
HowTo_360P-127f,HowTo,360,114,3.332,2.979,2.702,2.825,0.549,0.623,0.548,0.615,,,,,,,,
HowTo_360P-1823,HowTo,360,125,3.056,2.612,2.834,2.857,0.584,0.577,0.679,0.612,,,,,,,,
HowTo_360P-18e7,HowTo,360,123,2.78,2.903,2.775,2.602,0.632,0.662,0.659,0.652,,,,,,,,
HowTo_360P-1dba,HowTo,360,126,1.907,1.742,1.828,1.917,0.764,0.619,0.625,0.742,,,,,,,,
HowTo_360P-2074,HowTo,360,127,3.536,3.455,3.537,3.448,0.452,0.476,0.447,0.44,,,,,,,,
HowTo_360P-2a3b,HowTo,360,114,2.589,2.448,2.445,2.836,0.652,0.712,0.653,0.73,,,,,,,,
HowTo_360P-2d35,HowTo,360,124,2.847,2.833,2.66,2.685,0.632,0.671,0.566,0.514,,,,,,,,
HowTo_360P-2fd5,HowTo,360,127,2.049,1.52,1.682,1.811,1.027,0.607,0.74,0.82,,,,,,,,
HowTo_360P-3aa6,HowTo,360,126,3.019,3.025,2.984,3.156,0.629,0.631,0.611,0.508,,,,,,,,
HowTo_360P-4276,HowTo,360,115,3.448,3.29,3.283,3.273,0.489,0.498,0.504,0.559,,,,,,,,
HowTo_360P-4e4c,HowTo,360,119,3.005,2.745,3.009,3.227,0.615,0.58,0.625,0.57,,,,,,,,
HowTo_360P-55e9,HowTo,360,140,3.496,3.542,3.654,3.729,0.496,0.444,0.51,0.465,,,,,,,,
HowTo_360P-5da7,HowTo,360,122,3.425,3.304,3.392,3.34,0.576,0.538,0.518,0.499,,,,,,,,
HowTo_360P-6093,HowTo,360,113,3.205,3.173,3.023,3.256,0.513,0.474,0.616,0.462,,,,,,,,
HowTo_360P-6a0e,HowTo,360,139,2.104,2.01,1.901,1.835,0.85,0.894,0.758,0.732,,,,,,,,
HowTo_360P-7083,HowTo,360,131,3.031,2.948,2.824,2.898,0.636,0.601,0.543,0.574,,,,,,,,
HowTo_360P-7dcd,HowTo,360,144,3.035,3.069,3.057,2.997,0.62,0.62,0.668,0.62,,,,,,,,
HowTo_360P-7fb1,HowTo,360,114,3.322,3.26,3.155,3.264,0.549,0.581,0.659,0.54,,,,,,,,
HowTo_480P-04f1,HowTo,480,134,3.454,3.187,3.26,3.438,0.489,0.526,0.511,0.425,,,,,,,,
HowTo_480P-0cb3,HowTo,480,132,3.592,3.527,3.541,3.559,0.503,0.512,0.459,0.511,,,,,,,,
HowTo_480P-0d00,HowTo,480,142,3.998,4.046,4.043,4.028,0.625,0.634,0.631,0.665,,,,,,,,
HowTo_480P-0eb3,HowTo,480,121,2.507,2.339,2.527,2.552,0.563,0.587,0.557,0.525,,,,,,,,
HowTo_480P-118d,HowTo,480,145,1.462,1.313,1.294,1.27,0.76,0.56,0.519,0.485,,,,,,,,
HowTo_480P-15c1,HowTo,480,116,3.264,3.361,3.202,3.247,0.698,0.63,0.653,0.687,,,,,,,,
HowTo_480P-221e,HowTo,480,113,3.283,3.2,3.306,3.229,0.576,0.641,0.661,0.674,,,,,,,,
HowTo_480P-2610,HowTo,480,121,2.981,2.876,3.098,2.978,0.543,0.637,0.635,0.648,,,,,,,,
HowTo_480P-32c9,HowTo,480,134,2.51,2.393,2.532,2.295,0.73,0.723,0.76,0.664,,,,,,,,
HowTo_480P-3435,HowTo,480,126,3.93,3.971,4.148,4.061,0.483,0.547,0.537,0.563,,,,,,,,
HowTo_480P-470b,HowTo,480,118,3.858,3.7,3.814,3.8,0.547,0.511,0.513,0.473,,,,,,,,
HowTo_480P-48ac,HowTo,480,123,3.1,2.911,3.104,3.135,0.666,0.577,0.626,0.635,,,,,,,,
HowTo_480P-4948,HowTo,480,120,2.551,2.453,2.498,2.655,0.611,0.572,0.523,0.571,,,,,,,,
HowTo_480P-4a28,HowTo,480,127,3.659,3.652,3.651,3.469,0.476,0.501,0.524,0.528,,,,,,,,
HowTo_480P-4b6a,HowTo,480,106,2.763,2.579,2.722,2.549,0.689,0.579,0.7,0.699,,,,,,,,
HowTo_480P-4c99,HowTo,480,111,2.94,2.751,2.793,3.171,0.616,0.648,0.673,0.608,,,,,,,,
HowTo_480P-56a5,HowTo,480,103,4.085,3.882,3.969,4.228,0.522,0.497,0.538,0.527,,,,,,,,
HowTo_480P-60b3,HowTo,480,109,3.576,3.429,3.015,3.396,0.531,0.528,0.698,0.545,,,,,,,,
HowTo_480P-63a2,HowTo,480,128,3.559,3.59,3.534,3.531,0.51,0.48,0.528,0.539,,,,,,,,
HowTo_480P-64a2,HowTo,480,118,2.836,3.631,2.915,1.883,0.682,0.456,0.64,0.782,,,,,,,,
HowTo_480P-7579,HowTo,480,110,4.079,3.883,3.992,4.08,0.596,0.465,0.473,0.43,,,,,,,,
HowTo_480P-7c11,HowTo,480,127,3.267,3.203,3.109,3.174,0.537,0.529,0.585,0.531,,,,,,,,
HowTo_720P-017a,HowTo,720,106,3.762,3.74,3.718,3.835,0.492,0.458,0.455,0.454,,,,,,,,
HowTo_720P-06eb,HowTo,720,143,4.13,3.986,4.091,3.936,0.624,0.706,0.694,0.564,,,,,,,,
HowTo_720P-0a67,HowTo,720,149,4.315,4.304,4.319,4.301,0.455,0.516,0.466,0.506,,,,,,,,
HowTo_720P-0b01,HowTo,720,119,4.111,4.088,3.999,3.916,0.404,0.441,0.374,0.47,,,,,,,,
HowTo_720P-0c47,HowTo,720,140,4.364,4.242,3.929,4.052,0.443,0.449,0.489,0.455,,,,,,,,
HowTo_720P-111e,HowTo,720,112,3.938,4.057,4.1,3.985,0.45,0.587,0.61,0.438,,,,,,,,
HowTo_720P-12f7,HowTo,720,130,3.3,3.124,3.138,2.926,0.522,0.476,0.523,0.599,,,,,,,,
HowTo_720P-21c6,HowTo,720,117,2.838,2.71,2.772,2.867,0.593,0.596,0.609,0.604,,,,,,,,
HowTo_720P-269e,HowTo,720,107,3.643,3.653,3.639,3.575,0.614,0.682,0.615,0.484,,,,,,,,
HowTo_720P-2cc6,HowTo,720,137,2.814,2.577,2.852,2.741,0.691,0.646,0.62,0.619,,,,,,,,
HowTo_720P-37d0,HowTo,720,147,4.429,4.349,4.389,4.576,0.468,0.471,0.421,0.448,,,,,,,,
HowTo_720P-3813,HowTo,720,129,3.072,2.93,2.985,3.074,0.637,0.646,0.648,0.655,,,,,,,,
HowTo_720P-3a5d,HowTo,720,117,2.536,2.371,2.308,1.824,0.585,0.64,0.596,0.698,,,,,,,,
HowTo_720P-479b,HowTo,720,114,3.62,3.584,3.524,3.655,0.456,0.518,0.496,0.467,,,,,,,,
HowTo_720P-483c,HowTo,720,125,3.485,3.301,3.107,3.505,0.516,0.595,0.645,0.639,,,,,,,,
HowTo_720P-4d55,HowTo,720,122,3.947,4.249,4.149,4.316,0.475,0.46,0.423,0.462,,,,,,,,
HowTo_720P-4d9e,HowTo,720,117,3.688,3.238,3.254,3.18,0.603,0.594,0.534,0.638,,,,,,,,
HowTo_720P-6323,HowTo,720,114,3.732,3.468,3.392,3.499,0.431,0.468,0.505,0.464,,,,,,,,
HowTo_720P-6791,HowTo,720,134,2.263,2.408,1.862,1.73,1.063,0.991,0.841,0.816,,,,,,,,
HowTo_720P-7782,HowTo,720,114,3.761,3.743,3.49,3.718,0.475,0.499,0.51,0.56,,,,,,,,
HowTo_720P-7878,HowTo,720,140,3.674,3.684,3.321,3.523,0.578,0.556,0.701,0.563,,,,,,,,
HowTo_720P-7c38,HowTo,720,118,4.074,4.188,3.87,3.929,0.674,0.508,0.523,0.485,,,,,,,,
Lecture_1080P-011f,Lecture,1080,122,3.59,3.636,3.637,3.614,0.548,0.441,0.527,0.486,,,,,,,,
Lecture_1080P-0201,Lecture,1080,121,3.826,3.493,3.6,3.548,0.535,0.586,0.489,0.608,,,,,,,,
Lecture_1080P-0c8a,Lecture,1080,127,4.55,4.532,4.496,4.494,0.443,0.395,0.398,0.421,,,,,,,,
Lecture_1080P-1709,Lecture,1080,133,4.172,4.151,4.235,4.159,0.665,0.619,0.555,0.63,,,,,,,,
Lecture_1080P-1969,Lecture,1080,118,3.649,3.578,3.646,3.616,0.451,0.495,0.444,0.474,,,,,,,,
Lecture_360P-03bc,Lecture,360,130,2.762,2.492,2.638,2.794,0.71,0.831,0.705,0.61,,,,,,,,
Lecture_360P-051a,Lecture,360,131,2.64,2.448,2.454,2.341,0.644,0.664,0.599,0.621,,,,,,,,
Lecture_360P-114f,Lecture,360,128,4.172,4.037,4.197,3.828,0.588,0.568,0.524,0.477,,,,,,,,
Lecture_360P-20c3,Lecture,360,116,3.133,3.029,3.1,2.955,0.513,0.567,0.601,0.596,,,,,,,,
Lecture_360P-2276,Lecture,360,124,3.742,3.808,3.686,3.682,0.497,0.483,0.458,0.495,,,,,,,,
Lecture_360P-27db,Lecture,360,122,3.092,2.992,3.011,3.045,0.625,0.618,0.622,0.564,,,,,,,,
Lecture_360P-2c55,Lecture,360,115,3.717,3.579,3.736,3.676,0.433,0.491,0.475,0.503,,,,,,,,
Lecture_360P-2d1f,Lecture,360,112,3.62,3.494,3.396,3.432,0.463,0.51,0.488,0.472,,,,,,,,
Lecture_360P-30eb,Lecture,360,117,3.35,3.122,3.208,3.375,0.494,0.541,0.52,0.517,,,,,,,,
Lecture_360P-311d,Lecture,360,110,3.603,3.494,3.477,3.526,0.474,0.464,0.497,0.499,,,,,,,,
Lecture_360P-3590,Lecture,360,120,3.703,3.623,3.604,3.516,0.497,0.533,0.478,0.516,,,,,,,,
Lecture_360P-44c2,Lecture,360,122,3.389,3.368,3.168,3.253,0.486,0.501,0.475,0.55,,,,,,,,
Lecture_360P-4bb4,Lecture,360,122,3.822,3.73,3.631,3.508,0.432,0.459,0.496,0.483,,,,,,,,
Lecture_360P-4f00,Lecture,360,133,3.172,3.074,3.078,3.114,0.686,0.598,0.575,0.5,,,,,,,,
Lecture_360P-506c,Lecture,360,130,3.168,3.055,2.865,2.662,0.633,0.617,0.579,0.57,,,,,,,,
Lecture_360P-5594,Lecture,360,116,3.367,3.406,3.483,3.408,0.506,0.516,0.54,0.56,,,,,,,,
Lecture_360P-5779,Lecture,360,129,3.069,3.102,3.042,3.044,0.598,0.574,0.549,0.592,,,,,,,,
Lecture_360P-5aea,Lecture,360,124,3.088,2.865,2.704,2.915,0.679,0.613,0.632,0.675,,,,,,,,
